actor_id,actor_login,year,week_number,week_start,total_events,distinct_repos,push_count,pr_count,issue_count,time_grain,gold_ingested_at
39881627,Letter-R,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
68416,curran,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
20473513,mawiesne,2024,1,2024-01-01,1,1,0,1,0,week,2026-05-14 21:48:32.391286
44578852,abhinand-c,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
163000,clalancette,2024,1,2024-01-01,3,1,0,0,0,week,2026-05-14 21:48:32.391286
26203097,saitutiyu,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
17040545,yezhem,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
155377169,porkchwop,2024,1,2024-01-01,2,1,0,0,2,week,2026-05-14 21:48:32.391286
1781919,BenWibking,2024,1,2024-01-01,3,1,0,0,0,week,2026-05-14 21:48:32.391286
1850150,hesa,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
105246699,aws-airflow-bot,2024,1,2024-01-01,2,2,2,0,0,week,2026-05-14 21:48:32.391286
91582314,739196526,2024,1,2024-01-01,2,2,0,0,0,week,2026-05-14 21:48:32.391286
79059273,ruzfardev,2024,1,2024-01-01,1,1,1,0,0,week,2026-05-14 21:48:32.391286
7330140,fire-at-will,2024,1,2024-01-01,3,1,3,0,0,week,2026-05-14 21:48:32.391286
43918257,kc1awv,2024,1,2024-01-01,5,1,2,0,2,week,2026-05-14 21:48:32.391286
41760022,hamzaali81,2024,1,2024-01-01,2,1,0,0,0,week,2026-05-14 21:48:32.391286
9805119,clockworksoul,2024,1,2024-01-01,1,1,1,0,0,week,2026-05-14 21:48:32.391286
96599624,SrVariable,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
13571607,indy91,2024,1,2024-01-01,2,1,1,1,0,week,2026-05-14 21:48:32.391286
82263333,mola-111,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
348496,javadev,2024,1,2024-01-01,7,3,2,0,0,week,2026-05-14 21:48:32.391286
91463624,Lorik-Q,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
657412,donsez,2024,1,2024-01-01,1,1,1,0,0,week,2026-05-14 21:48:32.391286
60170948,masterflitzer,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
88815701,ChaseTheDark,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
8682922,0xg0nz0,2024,1,2024-01-01,3,1,1,1,0,week,2026-05-14 21:48:32.391286
1653275,fiatjaf,2024,1,2024-01-01,2,1,0,1,0,week,2026-05-14 21:48:32.391286
48908991,wvanesse,2024,1,2024-01-01,2,1,2,0,0,week,2026-05-14 21:48:32.391286
42821200,knownasbot,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
20430309,likemaestro,2024,1,2024-01-01,3,1,1,0,0,week,2026-05-14 21:48:32.391286
32479030,LawisLab,2024,1,2024-01-01,6,1,2,2,0,week,2026-05-14 21:48:32.391286
22763678,rozierguillaume,2024,1,2024-01-01,4,1,4,0,0,week,2026-05-14 21:48:32.391286
123806778,uraioa,2024,1,2024-01-01,2,1,0,0,0,week,2026-05-14 21:48:32.391286
72693388,Lee-JaeWon,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
450800,sthagen,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
56235032,hamzaremmal,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
151034972,Asmodisx,2024,1,2024-01-01,2,1,0,0,0,week,2026-05-14 21:48:32.391286
123590995,Kit0vras,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
135666964,semanticdiff-com[bot],2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
155011886,lafuye,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
692075,sbidoul,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
2429824,mmjr-x,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
40224023,drgnchan,2024,1,2024-01-01,2,1,0,1,0,week,2026-05-14 21:48:32.391286
26827848,Atrate,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
78078898,Junjiequan,2024,1,2024-01-01,6,1,0,0,0,week,2026-05-14 21:48:32.391286
